50,0.988834
90,0.982734
131,0.99067
172,0.983656
213,0.981079
254,0.990514
295,0.987318
335,0.989109
376,0.986548
417,0.992996
458,0.987126
499,0.994448
539,0.985089
580,0.993531
621,0.987808
662,0.993321
703,0.990159
744,0.986734
784,0.986873
825,0.980266
866,0.980406
907,0.984702
948,0.979748
989,0.994025
1030,0.990326
1070,0.975269
1111,0.995611
1152,0.970546
1193,0.993279
1234,1.00476
1274,0.996721
1315,0.97089
1356,0.984025
1397,0.991674
1438,1.00122
1479,1.00405
1520,0.981354
1560,0.961415
1601,0.981942
1642,0.981077
1683,0.976977
1724,0.985774
1765,0.992503
1805,1.00442
1846,0.985589
1887,0.974838
1928,0.970812
1969,1.01438
2009,0.98843
2050,1.0066
2091,1.00361
2132,0.988374
2173,0.965859
2214,1.0188
2255,1.02047
2295,1.01402
2336,1.01205
2377,0.981776
2418,1.04035
2459,1.01388
