50,0.937804
98,0.936355
148,0.934365
197,0.936374
246,0.935185
295,0.933605
344,0.936504
393,0.937663
441,0.931205
491,0.930021
540,0.940536
589,0.935684
638,0.93308
687,0.93566
736,0.937649
785,0.935237
834,0.941761
883,0.934942
931,0.946115
980,0.930617
1030,0.937244
1079,0.935078
1128,0.92965
1177,0.935038
1226,0.931144
1275,0.93544
1324,0.936755
1373,0.924472
1422,0.93678
1471,0.950922
1520,0.954179
1568,0.932963
1618,0.952255
1666,0.937022
1716,0.927741
1765,0.945445
1814,0.944742
1863,0.943041
1911,0.939565
1961,0.955673
2009,0.942915
2059,0.949281
2108,0.949431
2157,0.94071
2206,0.919662
2255,0.947206
2304,0.949537
2353,0.937511
2402,0.958619
2451,0.967673
